Topic,Assignment,Writer,E1 Gen,E2 Gen,Improvement
Catlove,A1,Chatgpt,20.0,20.0,0.0
Catlove,A1,Claude,17.666666666666668,18.0,0.33333333333333215
Catlove,A1,Gemini,18.333333333333332,18.333333333333332,0.0
Catlove,A1,Grok,17.0,16.666666666666668,-0.33333333333333215
Social Spending,A2,Chatgpt,19.0,19.333333333333332,0.33333333333333215
Social Spending,A2,Claude,18.666666666666668,19.333333333333332,0.6666666666666643
Social Spending,A2,Gemini,18.0,19.333333333333332,1.3333333333333321
Social Spending,A2,Grok,16.333333333333332,18.333333333333332,2.0
Real Estate,A3,Chatgpt,19.333333333333332,19.666666666666668,0.3333333333333357
Real Estate,A3,Claude,18.0,17.666666666666668,-0.33333333333333215
Real Estate,A3,Gemini,16.333333333333332,16.0,-0.33333333333333215
Real Estate,A3,Grok,15.666666666666666,16.333333333333332,0.6666666666666661
