Expert,LLM,Essay,Explanation,Evidence,Influence,Student_Pos,Conclusions,Total
Expert 2,ChatGPT,Essay 1,3.5,4,3.5,3,3,17
Expert 2,ChatGPT,Essay 2,4,3.5,4,4,3.5,19
Expert 2,ChatGPT,Essay 3,4,4,3,3.5,4,18.5
Expert 2,Gemini,Essay 1,4,3.5,4,3,4,18.5
Expert 2,Gemini,Essay 2,3.5,3,3,3.5,3.5,16.5
Expert 2,Gemini,Essay 3,4,4,4,4,4,20
Expert 2,Claude,Essay 1,4,4,4,3.5,4,19.5
Expert 2,Claude,Essay 2,4,4,3.5,4,4,19.5
Expert 2,Claude,Essay 3,4,4,4,4,3.5,19.5
Expert 2,Grok,Essay 1,2,3,3.5,2,2.5,13
Expert 2,Grok,Essay 2,3.5,3,3.5,1.5,2,13.5
Expert 2,Grok,Essay 3,4,3,3,1,2,13
