source,category,phrase
University of Waterloo,Cause and Effect,accordingly
University of Waterloo,Cause and Effect,after
University of Waterloo,Cause and Effect,as consequence
University of Waterloo,Cause and Effect,as a result
University of Waterloo,Cause and Effect,at that time
University of Waterloo,Cause and Effect,before
University of Waterloo,Cause and Effect,concurrently
University of Waterloo,Cause and Effect,consequently
University of Waterloo,Cause and Effect,finally
University of Waterloo,Cause and Effect,followed by
University of Waterloo,Cause and Effect,for this purpose
University of Waterloo,Cause and Effect,for this reason
University of Waterloo,Cause and Effect,hence
University of Waterloo,Cause and Effect,initially
University of Waterloo,Cause and Effect,next
University of Waterloo,Cause and Effect,otherwise
University of Waterloo,Cause and Effect,previously
University of Waterloo,Cause and Effect,so then
University of Waterloo,Cause and Effect,subsequently
University of Waterloo,Cause and Effect,then
University of Waterloo,Cause and Effect,therefore
University of Waterloo,Cause and Effect,thus
University of Wisconsin–Madison,Causation,accordingly
University of Wisconsin–Madison,Causation,as a result
University of Wisconsin–Madison,Causation,and so
University of Wisconsin–Madison,Causation,because
University of Wisconsin–Madison,Causation,consequently
University of Wisconsin–Madison,Causation,for that reason
University of Wisconsin–Madison,Causation,hence
University of Wisconsin–Madison,Causation,on account of
University of Wisconsin–Madison,Causation,since
University of Wisconsin–Madison,Causation,therefore
University of Wisconsin–Madison,Causation,thus
Harvard College Writing Center,Causation,therefore
Harvard College Writing Center,Causation,hence
Harvard College Writing Center,Causation,consequently
Harvard College Writing Center,Causation,thus
Harvard College Writing Center,Causation,so
Texas A&M University Writing Center,Causation,accordingly
Texas A&M University Writing Center,Causation,as a result
Texas A&M University Writing Center,Causation,because
Texas A&M University Writing Center,Causation,consequently
Texas A&M University Writing Center,Causation,for this purpose
Texas A&M University Writing Center,Causation,hence
Texas A&M University Writing Center,Causation,so
Texas A&M University Writing Center,Causation,then
Texas A&M University Writing Center,Causation,therefore
Texas A&M University Writing Center,Causation,thereupon
Texas A&M University Writing Center,Causation,thus
Texas A&M University Writing Center,Causation,to this end
Mt. San Antonio College Writing Center,Causation,so
Mt. San Antonio College Writing Center,Causation,for
Mt. San Antonio College Writing Center,Causation,because
Mt. San Antonio College Writing Center,Causation,since
Mt. San Antonio College Writing Center,Causation,therefore
Mt. San Antonio College Writing Center,Causation,thus
Mt. San Antonio College Writing Center,Causation,hence
Mt. San Antonio College Writing Center,Causation,as a result
Mt. San Antonio College Writing Center,Causation,consequently
