Assignment,Model,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
Technique,,Write,Persona + Write,Persona + Write Formal,CoT + Write,Generate,CoT + Generate,Persona + Generate,Iterative + Persona + Generate,Iterative + Persona + Write,Iterative + Generate,Iterative + CoT + Generate,Iterative + Write
Assignment 1,chatgpt,1310,1310,1356,1421,1200,1123,1279,1264,1317,1144,1367,1280
Assignment 1,claude,1092,980,1079,1119,1099,1326,1005,1122,1220,1175,1313,1260
Assignment 1,gemini,1018,1013,1050,1171,1047,998,1004,1074,1074,966,1074,997
Assignment 1,grok,912,945,984,991,875,844,993,985,968,811,900,861
Assignment 2,chatgpt,1339,1417,1132,1545,1372,1234,1369,1382,1288,1404,1010,1343
Assignment 2,claude,1377,1054,1151,1317,1268,1168,1239,1323,1259,1183,1338,1225
Assignment 2,gemini,1069,1220,1082,994,1157,1297,1065,945,982,983,1115,943
Assignment 2,grok,910,988,975,867,1080,966,766,970,858,759,867,857
Assignment 3,chatgpt,1427,1318,1336,1337,1294,1315,1324,1336,1166,1301,1159,61
Assignment 3,claude,1254,1128,1188,1279,1311,1228,1263,1241,1255,1379,1286,1360
Assignment 3,gemini,1059,982,901,937,963,1068,1058,1118,913,1068,974,1046
Assignment 3,grok,910,867,866,1011,882,928,830,776,919,822,834,885
