Assignment,Writer,Grader,Issues,Evidence,Context,Position,Conclusions,Total
A1,chatgpt,claude,4.0,4.0,4.0,4.0,4.0,20.0
A1,chatgpt,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A1,chatgpt,grok,4.0,4.0,4.0,4.0,4.0,20.0
A1,claude,chatgpt,4.0,3.0,3.0,3.0,3.0,16.0
A1,claude,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A1,claude,grok,4.0,4.0,4.0,4.0,4.0,20.0
A1,gemini,chatgpt,4.0,3.0,3.0,3.0,3.0,16.0
A1,gemini,claude,4.0,4.0,4.0,4.0,4.0,20.0
A1,gemini,grok,4.0,4.0,4.0,4.0,4.0,20.0
A1,grok,chatgpt,4.0,3.0,3.0,3.0,3.0,16.0
A1,grok,claude,4.0,4.0,4.0,4.0,4.0,20.0
A1,grok,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A2,chatgpt,claude,4.0,4.0,4.0,4.0,4.0,20.0
A2,chatgpt,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A2,chatgpt,grok,4.0,4.0,4.0,4.0,4.0,20.0
A2,claude,chatgpt,4.0,3.0,4.0,4.0,4.0,19.0
A2,claude,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A2,claude,grok,4.0,4.0,4.0,4.0,4.0,20.0
A2,gemini,chatgpt,4.0,3.0,4.0,3.0,3.0,17.0
A2,gemini,claude,4.0,4.0,4.0,4.0,4.0,20.0
A2,gemini,grok,4.0,4.0,4.0,4.0,4.0,20.0
A2,grok,chatgpt,4.0,4.0,3.0,3.0,3.0,17.0
A2,grok,claude,4.0,4.0,3.0,4.0,3.0,18.0
A2,grok,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A3,chatgpt,claude,3.0,3.0,2.0,3.0,3.0,14.0
A3,chatgpt,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A3,chatgpt,grok,4.0,4.0,4.0,4.0,4.0,20.0
A3,claude,chatgpt,3.0,3.0,3.0,3.0,3.0,15.0
A3,claude,gemini,4.0,4.0,4.0,4.0,4.0,20.0
A3,claude,grok,4.0,4.0,4.0,4.0,4.0,20.0
A3,gemini,chatgpt,4.0,3.0,3.0,3.0,3.0,16.0
A3,gemini,claude,4.0,4.0,3.0,4.0,3.0,18.0
A3,gemini,grok,4.0,4.0,4.0,4.0,4.0,20.0
A3,grok,chatgpt,3.0,3.0,2.0,3.0,3.0,14.0
A3,grok,claude,3.0,3.0,2.0,3.0,3.0,14.0
A3,grok,gemini,4.0,3.0,4.0,4.0,4.0,19.0
